"R0000100","R0000600","R0175800","R0175900","R0176700","R0176800","R0177600","R0177700","R0178500","R0178600","R0179400","R0179500","R0180300","R0180400","R0181200","R0181300","R0182100","R0182200","R0183000","R0183100","R0183900","R0184000","R0184800","R0184900","R0185700","R0185800","R0186600","R0186700","R0187500","R0187600","R2303100","R2303200","R2303500","R2303600","R2505300","R2505400","R2505700","R2505800"
55,20,4,48,5,48,7,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
56,14,4,48,5,48,6,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
57,20,1,28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,21,-4,25,-4,-4,-4,-4,-4
58,22,4,49,5,46,6,19,6,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,-4,32,-4,-4,-4,-4,-4
59,20,4,49,5,46,7,22,6,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,29,-4,32,-4,-4,-4,-4,-4
60,17,4,49,5,46,7,22,6,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-2,-2,-2,-4,-4,-4,-4
61,16,4,48,5,46,7,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,-4,33,-4,-4,-4,-4,-4
62,14,4,48,5,46,7,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-4,34,-4,-4,-4,-4,-4
63,19,4,49,5,45,-3,17,-3,15,-3,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,-4,32,-4,-5,-5,-5,-5
64,17,4,49,5,45,6,19,7,15,7,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
65,15,4,49,5,45,6,19,6,17,7,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
66,15,5,47,4,46,-4,-4,7,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-4,33,-4,-4,-4,-4,-4
67,21,5,50,4,54,7,17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,28,-4,-4,-4,-4,-4
68,16,4,50,5,54,6,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,28,-4,-4,-4,-4,-4
69,14,4,45,5,39,6,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
70,17,4,46,5,43,6,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-4,36,-4,-4,-4,-4,-4
71,15,4,46,5,43,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-4,36,-4,-4,-4,-4,-4
72,19,5,50,4,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,28,-4,-4,-4,-4,-4
73,15,5,39,7,12,7,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,34,-4,39,-4
74,19,36,20,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-4,34,-4,-4,-4,-4,-4
75,17,4,47,5,43,6,15,7,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,54,-2,50,-4,-4,-4,-4
76,15,4,-3,5,-3,7,-3,7,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,53,-2,51,-4,-4,-4,-4
77,14,6,47,5,50,7,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,32,-4,28,-4,-4,-4,-4,-4
78,21,4,52,5,52,6,23,6,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,62,-2,63,-4,-4,-4,-4
79,18,4,53,5,53,6,23,7,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,26,-4,24,-4,-4,-4,-4,-4
80,15,4,59,5,52,6,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-1,-4,-1,-4
