C0000100,C0000200,C0005700,m_age_ya,m_HGC
90002,900,1990,28,15
90003,900,1996,34,15
90004,900,1997,36,15
90401,904,1991,27,15
90601,906,1995,30,19
90602,906,1996,32,19
90603,906,1998,33,19
91201,912,1984,26,18
91202,912,1987,29,18
91401,914,1991,30,12
91402,914,1993,31,12
91801,918,1987,24,12
92301,923,1983,22,12
92302,923,1987,26,12
92303,923,1989,27,12
92801,928,1981,20,16
92802,928,1984,23,16
93001,930,1976,17,16
93002,930,1976,17,16
93003,930,1979,20,16
93004,930,1981,22,16
93201,932,1977,18,12
93202,932,1980,20,12
93203,932,1989,29,12
93501,935,1984,26,12
93502,935,1985,27,12
93503,935,1988,30,12
93601,936,1986,25,16
93602,936,1989,28,16
93603,936,1992,31,16
93901,939,1979,20,12
93902,939,1981,22,12
93903,939,1984,26,12
93904,939,1986,27,12
94001,940,1982,22,12
94002,940,1984,24,12
94201,942,1988,27,12
94202,942,1991,30,12
94901,949,1983,20,12
94902,949,1984,21,12
95001,950,1995,30,12
95201,952,1982,18,14
95301,953,1978,19,12
95302,953,1984,25,12
95401,954,1998,37,16
95402,954,2000,40,16
96201,962,1983,21,18
96202,962,1984,23,18
96203,962,1987,25,18
96401,964,1991,26,12
96601,966,1997,35,12
96602,966,2001,39,12
96701,967,1991,28,14
96702,967,1993,30,14
97101,971,1993,31,14
97102,971,1995,33,14
97401,974,1989,28,20
97402,974,1991,30,20
97501,975,1982,17,12
97502,975,1985,20,12
97801,978,1984,25,16
97802,978,1987,27,16
97901,979,1981,21,12
97902,979,1984,25,12
98101,981,1986,26,12
98102,981,1989,29,12
98601,986,1981,17,16
98801,988,1975,15,15
99201,992,1977,18,12
99202,992,1979,21,12
99203,992,1981,22,12
99501,995,1971,13,12
99502,995,1979,22,12
99801,998,1982,24,12
99802,998,1987,29,12
99803,998,1989,31,12
99804,998,1995,37,12
99805,998,1998,40,12
99901,999,1984,21,20
99902,999,1986,23,20
100501,1005,1979,20,11
100502,1005,1981,21,11
100503,1005,1986,26,11
100504,1005,1988,28,11
100505,1005,1989,29,11
100801,1008,1976,17,12
100901,1009,1976,19,13
101501,1015,1984,21,20
