,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#
10331,True,False,False,10.649000000000001,3,True,20,20,0
10332,True,False,False,9.288,2,True,37,37,
10333,True,False,False,10.97,2,False,,,0
10334,False,True,False,14.024000000000001,4,True,19,19,0
10335,False,True,False,31.376,2,True,20,20,0
10336,False,False,True,12.099,2,True,49,49,
10337,False,False,True,10.512,3,True,21,21,
10338,False,False,True,50.933,2,True,21,21,
10339,False,True,False,11.17,2,True,28,28,0
10340,True,False,False,74.122,1,False,,,
10341,True,False,False,82.602,0,True,22,22,0
10342,True,False,False,51.271,3,False,,,
10343,True,False,False,49.226,5,False,,,0
10344,False,True,False,58.815,2,True,19,19,0
10345,True,False,False,30.41,2,False,,,
10346,True,False,False,4.468,3,False,,,
10347,True,False,False,10.893,,True,17,17,
10348,True,False,False,8.432,2,False,,,0
10349,True,False,False,,,False,,,
10350,True,False,False,16.081,2,False,,,
10351,True,False,False,52.894,4,True,24,24,
10352,True,False,False,36.475,3,True,22,22,
10353,True,False,False,69.539,2,False,,,0
10354,True,False,False,1.27,4,False,,,
10355,True,False,False,29.925,2,True,31,31,
10356,True,False,False,43.75,2,False,,,
10357,False,True,False,6.140000000000001,3,True,31,31,0
10358,False,True,False,,3,True,25,25,0
10359,True,False,False,,3,True,22,22,0
10360,True,False,False,1.391,2,False,,,0
10361,True,False,False,52.797000000000004,1,True,40,40,1
10362,True,False,False,67.553,2,True,33,33,
10363,True,False,False,93.992,4,False,,,
10364,True,False,False,92.996,0,False,,,0
10365,True,False,False,64.33200000000001,4,True,24,24,0
10366,True,False,False,87.97,2,False,,,1
10367,True,False,False,92.803,2,True,27,27,
10368,True,False,False,11.075000000000001,2,True,32,32,0
10369,True,False,False,4.486,2,True,22,22,
10370,True,False,False,10.146,1,False,,,0
10371,True,False,False,,,False,,,
10372,True,False,False,,,True,17,17,
10373,True,False,False,5.328,1,True,18,18,0
10374,True,False,False,,2,True,20,20,0
10375,True,False,False,,2,False,,,0
10376,True,False,False,14.722,6,True,23,23,0
10377,True,False,False,65.633,6,True,,,0
10378,True,False,False,49.633,4,True,49,49,1
10379,True,False,False,41.624,2,False,,,
10380,True,False,False,63.687000000000005,0,True,26,26,
10381,True,False,False,68.393,4,True,27,27,
10382,False,True,False,3.107,2,True,18,18,0
10383,True,False,False,11.242,5,False,,,
10384,True,False,False,50.907000000000004,5,True,20,20,
10385,True,False,False,10.158,2,True,23,23,
10386,True,False,False,,,True,23,23,
10387,True,False,False,24.195,4,False,,,0
10388,False,True,False,12.541,2,True,23,23,
10389,True,False,False,29.281000000000002,3,True,19,19,0
10390,True,False,False,5.355,0,False,,,
10391,True,False,False,18.049,3,True,,,
10392,True,False,False,51.75,3,True,30,30,0
10393,True,False,False,71.896,0,True,29,29,0
10394,True,False,False,,3,True,23,23,0
10395,True,False,False,52.144,6,True,23,23,0
10396,True,False,False,,,True,22,22,
10397,True,False,False,51.112,3,True,21,21,
10398,True,False,False,44.202,4,True,19,19,0
10399,True,False,False,68.372,3,True,28,28,0
10400,True,False,False,51.646,5,True,26,26,0
10401,False,True,False,83.97200000000001,2,False,,,0
10402,False,True,False,63.451,0,True,21,21,
10403,False,True,False,32.191,0,True,21,21,
10404,True,False,False,67.766,4,True,30,30,
10405,True,False,False,97.48400000000001,4,True,25,25,0
10406,True,False,False,94.197,4,False,,,
10407,True,False,False,32.588,2,True,20,20,
10408,False,False,True,32.584,2,True,18,18,0
10409,True,False,False,,2,True,24,24,
10410,True,False,False,19.101,5,False,,,0
10411,True,False,False,7.9590000000000005,3,True,30,30,
10412,True,False,False,71.953,3,False,,,2
10413,True,False,False,17.669,1,False,,,
10414,True,False,False,,4,True,19,19,0
10415,True,False,False,86.941,5,True,22,22,
10416,True,False,False,8.483,,True,23,23,
10417,True,False,False,1.942,2,True,24,24,0
10418,True,False,False,19.386,,False,,,
10419,True,False,False,21.838,2,False,,,0
10420,False,False,False,19.289,1,True,24,24,1
10421,True,False,False,13.629,1,True,34,34,0
10422,True,False,False,6.224,1,True,26,26,
10423,True,False,False,7.014,2,False,,,
10424,True,False,False,9.870000000000001,3,True,20,20,
10425,True,False,False,55.495000000000005,4,True,20,20,
10426,True,False,False,31.312,4,True,23,23,0
10427,True,False,False,27.501,2,True,22,22,0
10428,True,False,False,9.967,4,True,21,21,0
10429,True,False,False,5.7490000000000006,4,False,,,
10430,True,False,False,1.486,3,True,21,21,
10431,True,False,False,2.22,4,False,,,
10432,True,False,False,8.928,1,False,,,0
10433,True,False,False,4.5760000000000005,2,True,22,22,
10434,True,False,False,30.904,0,True,18,18,
10435,True,False,False,16.324,2,True,20,20,0
10436,True,False,False,28.964000000000002,3,True,26,26,0
10437,True,False,False,40.759,2,True,27,27,
10438,True,False,False,21.434,2,False,,,
10439,False,True,False,77.83200000000001,2,True,25,25,
10440,True,False,False,79.039,0,True,26,26,
10441,True,False,False,68.056,0,False,,,0
10442,True,False,False,24.891000000000002,2,True,34,34,0
10443,True,False,False,38.031,3,True,17,17,0
10444,True,False,False,,,True,18,18,2
10445,True,False,False,2.266,2,True,18,18,1
10446,True,False,False,5.273,1,False,,,
10447,True,False,False,68.94800000000001,1,True,33,33,0
10448,True,False,False,72.387,1,True,25,25,
10449,True,False,False,33.325,3,True,28,28,0
10450,True,False,False,,,True,28,28,0
10451,True,False,False,18.321,1,True,19,19,0
10452,True,False,False,6.221,0,True,18,18,
10453,True,False,False,47.884,4,True,22,22,
10454,True,False,False,7.111,3,True,21,21,
10455,True,False,False,69.889,2,False,,,0
10456,True,False,False,77.644,1,True,22,22,
10457,True,False,False,88.388,2,True,25,25,0
10458,True,False,False,70.16,0,True,18,18,0
10459,True,False,False,20.197,,True,23,23,
10460,True,False,False,52.012,3,True,26,26,
10461,True,False,False,66.888,2,True,29,29,
10462,True,False,False,82.575,3,True,23,23,
10463,False,True,False,,3,True,24,24,
10464,True,False,False,18.199,,False,,,2
10465,True,False,False,33.495,2,True,18,18,
10466,True,False,False,46.64,2,True,21,21,0
10467,True,False,False,27.206,4,True,,,0
10468,True,False,False,,2,False,,,
10469,True,False,False,52.688,2,False,,,
10470,True,False,False,38.924,2,False,,,
10471,True,False,False,29.277,2,True,39,39,0
10472,True,False,False,,,True,27,27,
10473,True,False,False,56.005,2,False,,,0
10474,True,False,False,36.683,2,True,22,22,2
10475,True,False,False,20.32,2,False,,,
10476,False,True,False,40.135,3,True,29,29,0
