,Unnamed: 0,C0000100,C0000200,C0005700,m_age_ya,momexpectyos,cfemale1,m_HGC_ya,HGC_ya,piatreadingrecognition,piatreadingcomprehension,piatmathraw,dad_distance_ya,lnexpectedyos,numberofsiblings,behaveproblemindexpercentilescor,R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,phispanic,pblack,psex,pbizowner,phoursworked79,phoursworked2018,pjobnumberavg,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,p1stbirthaftermarriage,abort_#,foreign_lang_child,pfamilyattitudetofemaleworkingla,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,mincome20_40,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
5207,5207.0,546901.0,5469.0,1983.0,18.0,4.0,1.0,5.0,5.0,66.0,67.0,57.0,5.0,1.386294,0.0,676.0,5469.0,29.0,23.0,2.0,3.0,5.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,0,0,2.79167,1.294,0.0,1.0,18.0,18.0,1.0,0.0,0.0,3.33333,0.0,0.0,3.0,3.0,5.0,5.0,0.333333333,32952.61038,0.0,0.0,0.0,0.0,0.0
5208,5208.0,546902.0,5469.0,1986.0,21.0,,0.0,5.0,2.0,60.0,66.0,53.0,0.0,,0.0,739.0,5469.0,29.0,23.0,2.0,3.0,5.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,0,0,2.79167,1.294,0.0,1.0,18.0,18.0,1.0,0.0,0.0,3.33333,0.0,0.0,3.0,3.0,5.0,5.0,0.333333333,32952.61038,0.0,0.0,0.0,0.0,0.0
5209,5209.0,547201.0,5472.0,1990.0,27.0,5.0,1.0,6.0,,49.0,42.0,48.0,0.0,1.609438,1.0,867.0,5472.0,28.0,22.0,5.0,6.0,6.0,,,1.0,0.0,0.0,0,0,2,0,400,2390,5.64286,81.374,2.0,1.0,23.0,23.0,1.0,0.0,0.0,3.0,,0.0,1.0,1.0,1.0,1.0,1.0,20211.2561,0.0,0.0,0.0,0.0,0.0
5210,5210.0,547301.0,5473.0,1977.0,19.0,4.0,0.0,6.0,5.0,60.0,48.0,55.0,0.0,1.386294,1.0,951.0,5473.0,21.0,22.0,3.0,4.0,5.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,400,2390,5.64286,55.194,2.0,1.0,16.0,16.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,48124.74952,0.0,1.0,0.0,1.0,0.0
5211,5211.0,547302.0,5473.0,1979.0,21.0,2.0,1.0,6.0,5.0,67.0,46.0,42.0,55.0,0.6931472,3.0,992.0,5473.0,21.0,22.0,3.0,4.0,5.0,1.0,18.0,1.0,0.0,0.0,0,1,2,0,0,2120,3.375,55.194,2.0,1.0,16.0,16.0,0.0,0.0,0.0,3.66667,0.0,1.0,3.0,2.0,2.0,2.0,1.0,48124.74952,0.0,1.0,0.0,1.0,0.0
5212,5212.0,547401.0,5474.0,1997.0,34.0,,0.0,10.0,3.0,,,,55.0,,3.0,,5474.0,22.0,24.0,3.0,5.0,10.0,0.0,4.0,1.0,0.0,0.0,0,1,2,0,0,2120,3.375,60.055,3.0,1.0,25.0,25.0,0.0,0.0,0.0,3.66667,1.0,,1.0,,1.0,1.0,1.0,10837.95987,0.0,0.0,0.0,0.0,0.0
5213,5213.0,547402.0,5474.0,2001.0,38.0,5.0,1.0,10.0,3.0,59.0,79.0,68.0,5.0,1.609438,0.0,602.0,5474.0,22.0,24.0,3.0,5.0,10.0,0.0,4.0,1.0,0.0,0.0,0,0,2,0,0,40,6.18518,60.055,3.0,1.0,25.0,25.0,1.0,0.0,0.0,4.0,1.0,,1.0,,1.0,1.0,1.0,10837.95987,0.0,0.0,0.0,0.0,0.0
5214,5214.0,547601.0,5476.0,1979.0,19.0,5.0,1.0,5.0,3.0,66.0,64.0,57.0,5.0,1.609438,0.0,571.0,5476.0,32.0,32.0,2.0,4.0,5.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,0,40,6.18518,0.838,1.0,1.0,25.0,25.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,2.0,6.0,0.0,1.0,17510.90936,0.0,0.0,0.0,0.0,0.0
5215,5215.0,547602.0,5476.0,1986.0,26.0,4.0,0.0,5.0,2.0,77.0,56.0,67.0,5.0,1.386294,0.0,945.0,5476.0,32.0,32.0,2.0,4.0,5.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,2030,0,2.39286,0.838,1.0,1.0,25.0,25.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,6.0,0.0,1.0,17510.90936,0.0,0.0,0.0,0.0,0.0
5216,5216.0,547701.0,5477.0,1979.0,18.0,-2.0,0.0,6.0,7.0,,,,55.0,,0.0,958.0,5477.0,,19.0,5.0,,5.0,0.0,,1.0,0.0,0.0,0,0,2,0,2030,0,2.39286,67.899,2.0,1.0,17.0,17.0,1.0,0.0,0.0,3.0,0.0,,3.0,,0.0,,1.0,16792.33756,1.0,0.0,1.0,0.0,0.0
