"C0000100","C0000200","Y1211300"
144602,1446,5
144603,1446,3
145101,1451,3
145102,1451,5
145103,1451,3
145401,1454,3
145402,1454,6
145501,1455,2
145502,1455,3
145503,1455,3
145504,1455,3
145901,1459,8
146001,1460,6
146002,1460,-7
146003,1460,-7
146501,1465,2
146701,1467,-7
146901,1469,-7
146902,1469,2
146903,1469,8
147001,1470,6
147002,1470,1
147401,1474,8
147402,1474,8
147801,1478,-7
147802,1478,-7
148201,1482,2
148202,1482,8
148203,1482,3
148401,1484,6
148901,1489,2
148902,1489,2
148903,1489,3
148904,1489,3
149001,1490,6
149101,1491,3
149102,1491,3
149301,1493,7
149302,1493,4
149401,1494,6
149402,1494,6
149403,1494,3
149501,1495,3
149502,1495,7
149801,1498,6
149802,1498,6
149901,1499,3
149902,1499,10
150201,1502,10
150202,1502,6
150203,1502,8
150204,1502,6
150701,1507,7
150702,1507,2
151201,1512,8
151202,1512,8
151701,1517,-7
151702,1517,-7
151703,1517,-7
151901,1519,-7
151902,1519,3
151903,1519,3
152201,1522,10
152401,1524,3
152402,1524,3
152403,1524,2
152501,1525,6
152502,1525,-7
152503,1525,7
152504,1525,6
152505,1525,7
153101,1531,-7
153201,1532,7
153202,1532,2
153203,1532,8
153204,1532,3
153301,1533,2
153302,1533,2
153401,1534,2
153402,1534,3
153801,1538,6
153802,1538,5
153901,1539,8
153902,1539,7
154001,1540,2
154101,1541,2
154102,1541,2
154401,1544,2
154402,1544,3
154403,1544,3
154601,1546,-7
154602,1546,2
154603,1546,2
154801,1548,4
154802,1548,2
154901,1549,3
154902,1549,6
154903,1549,3
154904,1549,5
155101,1551,2
155102,1551,2
155201,1552,8
155301,1553,8
155801,1558,6
155901,1559,3
155902,1559,2
156201,1562,-7
156401,1564,7
156402,1564,6
156601,1566,2
156602,1566,7
156603,1566,1
156604,1566,2
156605,1566,6
157101,1571,6
157102,1571,6
157901,1579,5
158101,1581,6
158102,1581,8
158301,1583,7
158302,1583,6
158401,1584,8
158402,1584,2
158701,1587,8
158702,1587,8
159201,1592,7
159202,1592,3
159301,1593,6
159302,1593,6
159601,1596,2
159602,1596,2
159603,1596,2
159604,1596,2
159605,1596,1
159606,1596,2
159607,1596,2
159801,1598,3
159802,1598,3
159901,1599,3
160001,1600,8
160002,1600,6
160003,1600,7
160004,1600,6
160501,1605,6
160502,1605,7
160601,1606,2
160602,1606,4
160801,1608,3
160901,1609,8
160902,1609,4
161001,1610,7
161002,1610,5
161601,1616,10
161602,1616,8
161701,1617,3
161702,1617,2
161703,1617,5
162301,1623,3
162501,1625,8
162502,1625,6
162901,1629,6
162902,1629,8
163401,1634,6
163801,1638,8
163802,1638,3
163803,1638,7
163804,1638,6
163901,1639,8
163902,1639,8
163903,1639,8
163904,1639,8
164001,1640,2
164002,1640,3
164201,1642,7
164202,1642,10
164203,1642,8
164801,1648,-7
164802,1648,3
164803,1648,6
164901,1649,2
164902,1649,2
164903,1649,2
164904,1649,2
165001,1650,3
165002,1650,-7
165003,1650,6
165004,1650,8
165005,1650,2
165006,1650,3
165201,1652,6
165501,1655,3
165502,1655,8
165601,1656,6
165602,1656,6
165701,1657,3
165702,1657,7
165801,1658,8
165802,1658,3
166101,1661,7
166201,1662,5
166202,1662,7
166601,1666,8
166602,1666,8
166603,1666,3
167101,1671,-7
167102,1671,-7
167401,1674,6
167402,1674,8
167403,1674,6
167404,1674,-7
167501,1675,8
167502,1675,7
167503,1675,7
167504,1675,8
167601,1676,8
167602,1676,8
168301,1683,8
168501,1685,3
168901,1689,-7
168902,1689,-7
168903,1689,-7
169001,1690,6
169002,1690,3
169003,1690,8
169004,1690,12
169101,1691,-7
169102,1691,3
169901,1699,-7
169902,1699,-7
170401,1704,3
170402,1704,2
170403,1704,7
170404,1704,2
170405,1704,3
170501,1705,3
170502,1705,-7
170503,1705,-7
170504,1705,-7
170505,1705,-7
171401,1714,3
171601,1716,2
171602,1716,-7
171901,1719,8
172001,1720,8
172201,1722,-7
172202,1722,-7
172203,1722,-7
172301,1723,7
172302,1723,-7
172303,1723,3
172501,1725,2
172502,1725,7
172601,1726,6
172602,1726,-7
172603,1726,-7
172701,1727,-7
172702,1727,-7
172901,1729,2
172902,1729,8
172903,1729,2
173001,1730,6
173201,1732,2
173202,1732,2
173301,1733,6
173302,1733,8
173401,1734,6
173402,1734,6
173501,1735,8
173502,1735,8
173503,1735,6
173601,1736,8
173602,1736,8
173701,1737,2
173801,1738,-7
174001,1740,6
174002,1740,3
174501,1745,6
174502,1745,8
174503,1745,6
174701,1747,6
174702,1747,3
174901,1749,-7
175101,1751,3
175201,1752,3
175202,1752,-7
175401,1754,6
175402,1754,-7
175403,1754,-7
175404,1754,7
175405,1754,3
175406,1754,6
175407,1754,-7
175701,1757,-7
175702,1757,-7
175801,1758,6
175802,1758,6
176001,1760,7
176002,1760,6
176003,1760,3
176601,1766,8
176801,1768,4
176901,1769,4
176902,1769,6
177001,1770,3
177002,1770,3
177501,1775,8
177502,1775,2
177601,1776,12
177602,1776,9
177801,1778,3
177802,1778,8
178501,1785,8
178502,1785,10
178503,1785,7
178601,1786,8
178602,1786,8
178603,1786,6
178604,1786,8
178901,1789,7
178902,1789,6
178903,1789,3
179401,1794,2
179402,1794,7
179501,1795,6
179502,1795,10
179701,1797,3
179901,1799,1
179902,1799,-7
179903,1799,-7
180101,1801,-7
180301,1803,10
180302,1803,8
180401,1804,8
180402,1804,10
180403,1804,8
180801,1808,14
180802,1808,8
181401,1814,3
181402,1814,-7
181501,1815,3
181502,1815,6
181601,1816,-7
181602,1816,3
181603,1816,2
181604,1816,6
181801,1818,6
181802,1818,3
