,C0000100,C0000200,C0005700,m_age_ya,m_HGC_ya,dad_distance_ya,HGC_ya
9680,986502,9865,1982,19,4,5,
9681,986503,9865,1986,23,4,0,
9682,986504,9865,1988,24,4,0,
9683,986505,9865,1991,27,4,5,4
9684,986506,9865,1993,30,4,55,
9685,986507,9865,1999,36,4,,
9686,987001,9870,1984,20,6,5,2
9687,987002,9870,1988,23,6,5,2
9688,987003,9870,1991,27,6,5,3
9689,987101,9871,1975,16,6,5,3
9690,987102,9871,1983,23,6,55,4
9691,987401,9874,1990,25,5,0,4
9692,987402,9874,1993,28,5,0,4
9693,987403,9874,1995,30,5,0,7
9694,987701,9877,1985,22,5,5,2
9695,987702,9877,1991,29,5,0,5
9696,988101,9881,1986,22,5,0,3
9697,988102,9881,1990,25,5,0,4
9698,988103,9881,1994,30,5,0,5
9699,988201,9882,1980,22,6,0,
9700,988202,9882,1981,24,6,0,
9701,988203,9882,1986,28,6,0,
9702,988501,9885,1981,22,6,0,3
9703,988502,9885,1983,24,6,0,4
9704,988701,9887,1980,20,5,100,2
9705,988702,9887,1988,28,5,100,3
9706,989101,9891,1985,25,6,0,
9707,989102,9891,1987,28,6,0,
9708,989201,9892,1984,20,6,5,5
9709,989202,9892,1996,32,6,5,3
9710,989501,9895,1984,24,6,5,3
9711,989502,9895,1985,26,6,5,2
9712,989503,9895,1996,36,6,0,4
9713,989701,9897,1997,35,7,0,5
9714,989702,9897,2001,39,7,0,4
9715,989801,9898,1991,29,7,0,
9716,989901,9899,1989,31,6,55,
9717,989902,9899,1992,34,6,55,5
9718,990301,9903,1984,19,4,0,
9719,990601,9906,1994,30,5,0,3
9720,990602,9906,2000,36,5,0,2
9721,991001,9910,1983,19,4,100,
9722,991301,9913,1980,20,4,100,
9723,991302,9913,1980,20,4,100,
9724,991303,9913,1987,27,4,0,
9725,991601,9916,1983,20,1,5,3
9726,991602,9916,1987,24,1,5,2
9727,991603,9916,1988,25,1,5,4
9728,991604,9916,1997,34,1,5,4
9729,992001,9920,1994,29,7,0,
9730,992002,9920,1996,31,7,0,
9731,992201,9922,1980,21,5,5,2
9732,992202,9922,1996,37,5,0,1
9733,992501,9925,1983,19,6,5,3
9734,992502,9925,1989,25,6,5,4
9735,992701,9927,1983,24,5,55,3
9736,992702,9927,1995,36,5,,
9737,993001,9930,1982,19,5,0,3
9738,993002,9930,1983,21,5,0,5
9739,993003,9930,1985,23,5,5,4
9740,993201,9932,1984,24,4,0,
9741,993202,9932,1987,27,4,0,
9742,993501,9935,1981,19,6,0,4
9743,993502,9935,1983,20,6,0,5
9744,993503,9935,1986,23,6,5,5
9745,993504,9935,1988,25,6,5,5
9746,993801,9938,1984,22,6,55,2
9747,993802,9938,1985,23,6,55,2
9748,993803,9938,1988,26,6,55,4
9749,993804,9938,1989,27,6,0,2
9750,993901,9939,1991,32,8,5,3
9751,993902,9939,1996,37,8,55,4
9752,994001,9940,1977,20,3,55,3
9753,994002,9940,1981,23,3,55,4
9754,994101,9941,1990,30,4,0,5
9755,994102,9941,1994,34,4,0,5
9756,994401,9944,1983,20,4,0,
9757,994402,9944,1986,23,4,0,
9758,994501,9945,1977,20,1,0,4
9759,994502,9945,1981,24,1,0,3
9760,994503,9945,1984,27,1,0,3
9761,994504,9945,1991,34,1,0,2
9762,994601,9946,1977,19,5,55,5
9763,994602,9946,1981,24,5,55,2
9764,994801,9948,1990,26,5,5,
9765,995101,9951,1984,21,6,5,3
9766,995102,9951,1985,22,6,5,3
9767,995103,9951,1989,26,6,5,3
9768,995104,9951,2000,37,6,5,3
9769,995301,9953,1989,25,5,5,2
9770,995302,9953,1992,28,5,5,3
9771,995303,9953,1996,31,5,5,4
9772,995304,9953,1999,34,5,5,3
9773,995501,9955,1988,26,4,0,4
9774,995502,9955,1995,33,4,0,3
9775,996001,9960,1981,20,2,0,
9776,996002,9960,1984,23,2,0,
9777,996501,9965,1975,17,6,5,
9778,996502,9965,1978,20,6,5,
9779,996601,9966,1975,16,1,0,4
9780,996602,9966,1978,19,1,0,3
9781,996603,9966,1983,24,1,0,3
9782,996604,9966,1994,35,1,0,3
9783,996701,9967,1974,15,2,0,5
9784,996702,9967,1977,18,2,5,5
9785,996703,9967,1982,23,2,5,2
9786,997001,9970,1981,21,6,5,5
9787,997002,9970,1987,27,6,5,5
9788,997003,9970,1990,30,6,5,4
9789,997004,9970,1993,32,6,55,2
9790,997005,9970,1997,36,6,5,2
9791,997006,9970,1998,38,6,1,3
9792,997201,9972,1983,23,6,55,5
9793,997202,9972,1990,29,6,5,5
9794,997203,9972,1995,35,6,5,5
9795,997301,9973,1991,29,4,0,
9796,997401,9974,1980,16,4,55,3
9797,997402,9974,1987,23,4,55,3
9798,997403,9974,1991,26,4,0,5
9799,997404,9974,2001,36,4,0,2
9800,997801,9978,1990,28,6,55,3
9801,998001,9980,1980,21,5,5,3
9802,998002,9980,1981,22,5,5,3
9803,998003,9980,1986,27,5,5,4
9804,998004,9980,1989,31,5,0,5
9805,998005,9980,1991,32,5,0,3
9806,998006,9980,1993,35,5,0,5
9807,998101,9981,1979,18,6,55,5
9808,998102,9981,1981,20,6,55,4
9809,998103,9981,1994,33,6,0,4
9810,998104,9981,1996,35,6,0,5
9811,998201,9982,1988,25,6,0,3
9812,998202,9982,1990,26,6,0,5
9813,998203,9982,1992,28,6,0,3
9814,998601,9986,1982,23,5,5,4
9815,998602,9986,1984,25,5,5,5
9816,998603,9986,1986,28,5,5,4
9817,998604,9986,1991,33,5,5,3
9818,998605,9986,2000,41,5,100,3
9819,999101,9991,1983,25,4,0,
9820,999102,9991,1987,29,4,0,
9821,999201,9992,1986,22,7,5,5
9822,999202,9992,1990,26,7,55,5
9823,999203,9992,1992,27,7,55,5
9824,999204,9992,1993,28,7,55,5
9825,999205,9992,1995,30,7,55,5
9826,999501,9995,1985,21,6,5,8
9827,999502,9995,1989,25,6,0,3
9828,999701,9997,1979,16,5,5,3
9829,999702,9997,1987,24,5,5,2
