"C0000100","C0000200","C0005700","C0007000","C0053500","C0054100","C0055100","C0057500","C0058100","C0058700","C0059300","C0059900","C0060500","C0061100","C0061106","C0061112","C0061114","C0061116","C0061118","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C3602400","C3982400","C5526200","C5802500"
939203,9392,1986,27,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,12,12,12,12,12,12,12,13,13,13,13
939601,9396,1979,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12,-7,12,-7,-7,-7,-7
939602,9396,1980,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12,-7,12,-7,-7,-7,-7
939603,9396,1982,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12,-7,12,-7,-7,-7,-7
939701,9397,1978,21,12,-7,-7,12,12,12,12,12,-7,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
939702,9397,1980,22,12,-7,-7,12,12,12,12,12,-7,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
940101,9401,1975,17,14,14,15,15,14,15,16,16,16,16,16,17,18,18,20,20,20,20,17,18,18,18,18,18,18,18
940102,9401,1987,29,14,14,15,15,14,15,16,16,16,16,16,17,18,18,20,20,20,20,17,18,18,18,18,18,18,18
940103,9401,1990,32,14,14,15,15,14,15,16,16,16,16,16,17,18,18,20,20,20,20,17,18,18,18,18,18,18,18
940301,9403,1978,21,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
940302,9403,1985,28,10,10,10,10,10,10,10,10,10,10,10,10,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
940601,9406,1979,16,8,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
940801,9408,1978,17,11,11,11,11,11,11,11,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
940802,9408,1981,20,11,11,11,11,11,11,11,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
940803,9408,1983,22,11,11,11,11,11,11,11,11,11,11,11,11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
941301,9413,1976,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11
941302,9413,1989,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11
941601,9416,1984,27,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
941602,9416,1986,29,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
942101,9421,1987,30,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17
942102,9421,1990,32,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17
942301,9423,1998,35,9,10,11,12,13,13,13,14,15,15,15,15,15,15,14,15,16,16,16,16,16,16,16,16,16,16
942302,9423,1999,36,9,10,11,12,13,13,13,14,15,15,15,15,15,15,14,15,16,16,16,16,16,16,16,16,16,16
942303,9423,2001,38,9,10,11,12,13,13,13,14,15,15,15,15,15,15,14,15,16,16,16,16,16,16,16,16,16,16
942901,9429,1989,25,8,-7,8,8,8,8,-7,-7,8,8,8,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
942902,9429,1990,26,8,-7,8,8,8,8,-7,-7,8,8,8,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
943001,9430,1983,18,7,7,8,8,8,8,8,8,8,8,8,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
943002,9430,1988,23,7,7,8,8,8,8,8,8,8,8,8,8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
943201,9432,1975,16,9,9,9,9,9,9,9,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
943301,9433,1978,18,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
943302,9433,1980,20,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
943401,9434,1987,25,9,-7,9,9,9,9,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,10,10
943402,9434,1989,27,9,-7,9,9,9,9,9,9,-7,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,10,10
944001,9440,1988,25,8,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,-7,9,-7,-7,-7,-7,-7
944002,9440,1991,28,8,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,-7,9,-7,-7,-7,-7,-7
944101,9441,1977,16,11,11,11,11,11,11,11,11,14,-7,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12
944102,9441,1981,20,11,11,11,11,11,11,11,11,14,-7,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12
944103,9441,1990,29,11,11,11,11,11,11,11,11,14,-7,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12
944104,9441,1994,33,11,11,11,11,11,11,11,11,14,-7,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12
944601,9446,1982,25,13,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16
944602,9446,1985,28,13,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16
945201,9452,1984,26,15,16,16,16,16,16,16,16,16,17,19,18,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
945501,9455,1987,29,15,16,16,16,16,16,16,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
945502,9455,1989,31,15,16,16,16,16,16,16,16,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
945601,9456,1989,31,14,15,16,16,16,17,17,17,17,17,17,17,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
945901,9459,1989,29,13,14,15,16,16,16,17,17,18,18,18,18,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
