R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#,foreign_lang_child,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
35,41,42,4,5,6,0,10,0,1,0,53.046,2,1,22,22,0,0,1,,1,,5,0,1,,,,18891.37975,19258.07794,25862.28085,36462.52585,,40456.65367,39719.78493,36825.13492,38850.60577,40755.68619,,27188.37034,,32603.04434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
36,30,25,4,6,5,2,2,0,1,0,,4,1,18,18,,0,1,1,1,1,3,1,1,3704.451815,7194.572449,22031.51425,29242.64371,18891.37975,,45756.34304,72925.05171,84818.99513,,41210.11132,40027.32057,37607.38639,41208.52714,,27188.37034,,55696.86741,,,,80046.7291,,136315.5561,,,,31550.05669,,,,37321.80959,,26208.92188,,,,77394.17733,,66527.81374,,,,,,0,0,0,0,0
37,26,23,4,5,5,1,18,1,0,0,56.29,1,1,23,23,0,0,1,1,1,1,4,1,0.666666667,,,25738.79433,28543.26214,34398.48114,28778.2898,28245.53108,28898.92169,28756.87807,31015.64131,32427.32137,36462.52585,38721.71517,36938.68378,16688.98527,,,,,,,3260.304434,,17017.68873,,36944.6442,,40301.99049,,41312.84062,,39963.40514,,44721.61912,,42653.49667,,42121.48159,,45999.97045,,42700.23577,,45204.79651,,0,0,0,0,0
38,36,34,4,5,5,1,18,1,0,0,12.788,4,1,25,25,0,0,1,1,1,1,4,0,1,2249.131459,10072.40143,23500.28186,24082.43474,14063.5827,24325.99318,25862.28085,38381.60616,38721.71517,40104.85668,41722.46317,41628.41339,52836.82385,50552.14557,,42929.0058,,55696.86741,,57598.33108,,71426.31212,,72493.79806,,78159.42821,,91495.1644,,99099.04236,,90153.9816,,89859.16073,,119599.9232,,106750.5894,,110026.7689,,,,,,0,0,0,0,0
39,32,,4,5,5,2,9,1,0,0,26.851,2,1,33,33,,0,1,1,3,1,4,0,1,,24034.01704,,10584.14804,23981.90816,28019.56684,37218.30823,14693.29536,30407.49148,52719.26481,64864.91441,70067.86554,79154.3224,75100.4337,144618.7092,83917.30847,72454.55322,,77272.21044,,73356.84975,,74616.01981,,92361.6105,,65194.39637,,74809.73843,,59945.10771,,60984.02607,,60102.6544,,60842.14008,,57959.96277,,57823.23594,,55439.84478,,,0,0,0,0,0
40,29,27,4,4,6,0,11,1,0,0,38.419,2,1,20,20,,0,1,,1,1,2,1,1,1337.080225,9013.661729,1058.414804,,40673.56476,32839.68373,,,5968.218658,,7375.564794,1319.238707,5841.144843,2241.529952,3885.060577,45284.09576,,3577.41715,,,,,,1970.381024,,829.746863,,,,,,40656.01738,,43622.89432,,14040.49386,,34591.97778,,31135.58858,,63969.05167,,,,0,0,0,0,0
41,31,29,4,4,6,0,11,1,0,0,57.095,3,1,37,37,,0,1,,1,1,3,1,1,1323.018505,11990.95408,27115.70984,30650.37148,32745.05824,34461.82368,39788.12439,42219.76678,55316.73596,61564.47297,80107.12928,144618.7092,156875.6381,90568.19152,,95874.77962,,,,150541.0926,,129306.2547,,86530.74428,,133987.5912,,105166.8556,,132132.0565,,126021.6947,,131044.6094,,156399.8995,,160125.8841,,170584.1378,,,,,,0,0,0,0,0
42,26,24,4,6,5,1,18,1,0,0,22.326,4,1,27,27,,1,1,1,1,1,1,1,1,4076.924388,2711.570984,13135.87349,37782.75951,30407.49148,,,,52769.54826,40053.56464,14409.8354,45843.71481,48303.03548,,50083.8401,,57055.32759,,65452.64895,,55416.9663,,56896.92775,,50245.3467,,53635.09637,,48787.22085,,43622.89432,,56161.97546,,57039.96336,,,,,,,,,,,0,0,0,0,0
43,,17,4,4,5,2,,1,0,0,15.325,2,1,35,35,0,0,1,1,2,1,2,2,1,1802.732346,1005.494064,10791.85867,,963.2973895,6297.126584,10691.274,7957.624877,11514.48185,4204.071933,1688.625544,3337.797053,,,,,,,2490.057511,,7854.317874,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
44,35,29,4,5,5,1,18,1,0,0,37.061,2,1,19,19,0,0,1,1,1,1,4,1,1,4807.286255,18522.25907,12266.74603,,2627.174699,,,,,,,,4803.278468,8080.926001,,,,,,,,,,,,,8039.255473,,21327.83832,,29597.58065,,,,42121.48159,,40185.57418,,59673.57949,,63969.05167,,,,,0,0,0,0,0
