C0000100,C0000200,dad_distance
164001,1640,5
164002,1640,5
164201,1642,0
164202,1642,0
164203,1642,55
164801,1648,5
164802,1648,0
164803,1648,0
164901,1649,5
164902,1649,5
164903,1649,5
164904,1649,5
165001,1650,55
165002,1650,55
165003,1650,55
165004,1650,0
165005,1650,5
165006,1650,55
165201,1652,0
165501,1655,0
165502,1655,0
165601,1656,5
165602,1656,5
165701,1657,0
165702,1657,0
165801,1658,5
165802,1658,0
166101,1661,55
166201,1662,5
166202,1662,0
166601,1666,5
166602,1666,5
166603,1666,55
167101,1671,55
167102,1671,0
167401,1674,5
167402,1674,5
167403,1674,5
167404,1674,0
167501,1675,0
167502,1675,0
167503,1675,0
167504,1675,0
167601,1676,0
167602,1676,0
168301,1683,0
168501,1685,5
168901,1689,0
168902,1689,0
168903,1689,0
169001,1690,5
169002,1690,5
169003,1690,0
169004,1690,0
169101,1691,0
169102,1691,0
169901,1699,0
169902,1699,0
170401,1704,100
170402,1704,100
170403,1704,55
170404,1704,55
170405,1704,55
170501,1705,0
170502,1705,0
170503,1705,0
170504,1705,0
170505,1705,0
171401,1714,5
171601,1716,0
171602,1716,0
171901,1719,0
172001,1720,0
172201,1722,0
172202,1722,5
172203,1722,5
172301,1723,0
172302,1723,0
172303,1723,0
172501,1725,55
172502,1725,55
172601,1726,0
172602,1726,0
172603,1726,0
172701,1727,0
172702,1727,0
172901,1729,100
172902,1729,100
172903,1729,55
173001,1730,55
173201,1732,0
173202,1732,0
173301,1733,55
173302,1733,55
173401,1734,0
173402,1734,0
173501,1735,0
173502,1735,0
173503,1735,0
173601,1736,0
173602,1736,5
173701,1737,5
173801,1738,0
174001,1740,0
174002,1740,0
174501,1745,55
174502,1745,0
174503,1745,0
174701,1747,100
174702,1747,5
174901,1749,0
175101,1751,0
175201,1752,55
175202,1752,0
175401,1754,55
175402,1754,0
175403,1754,0
175404,1754,0
175405,1754,0
175406,1754,0
175407,1754,0
175701,1757,5
175702,1757,5
175801,1758,5
175802,1758,5
176001,1760,5
176002,1760,55
176003,1760,55
176601,1766,55
176801,1768,0
176901,1769,5
176902,1769,5
177001,1770,0
177002,1770,1
177501,1775,5
177502,1775,0
177601,1776,5
177602,1776,0
177801,1778,5
177802,1778,5
178501,1785,5
178502,1785,5
178503,1785,5
178601,1786,0
178602,1786,0
178603,1786,0
178604,1786,0
178901,1789,55
178902,1789,55
178903,1789,55
179401,1794,5
179402,1794,55
179501,1795,5
179502,1795,5
179701,1797,5
179901,1799,0
179902,1799,0
179903,1799,0
180101,1801,0
180301,1803,55
180302,1803,55
180401,1804,0
180402,1804,0
180403,1804,0
180801,1808,5
180802,1808,0
181401,1814,0
181402,1814,0
181501,1815,5
181502,1815,100
181601,1816,5
181602,1816,5
181603,1816,5
181604,1816,0
181801,1818,5
181802,1818,5
182401,1824,55
182402,1824,55
182501,1825,5
182502,1825,5
182503,1825,5
182504,1825,5
182601,1826,5
182602,1826,5
182801,1828,55
182901,1829,100
182902,1829,5
182903,1829,55
182904,1829,55
183101,1831,1
183102,1831,55
183201,1832,55
183202,1832,55
183203,1832,55
183301,1833,0
183302,1833,0
183303,1833,0
183401,1834,0
183402,1834,0
