"R0000100","T8671700","T8671900","T8672100","T8672400","T8672500"
163,-5,-5,-5,-5,-5
164,-5,-5,-5,-5,-5
165,0,-4,-4,-4,-4
166,-5,-5,-5,-5,-5
167,-5,-5,-5,-5,-5
168,-5,-5,-5,-5,-5
169,-5,-5,-5,-5,-5
170,-5,-5,-5,-5,-5
171,108500,-4,-4,-4,-4
172,-4,-4,-4,-4,-4
173,-5,-5,-5,-5,-5
174,0,-4,-4,-4,-4
175,-4,-4,-4,-4,-4
176,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,-5
178,-5,-5,-5,-5,-5
179,70000,-4,-4,-4,-4
180,0,-4,-4,-4,-4
181,0,-4,-4,-4,-4
182,-4,-4,-4,-4,-4
183,-5,-5,-5,-5,-5
184,20000,-4,-4,-4,-4
185,-4,-4,-4,-4,-4
186,-4,-4,-4,-4,-4
187,-5,-5,-5,-5,-5
188,-4,-4,-4,-4,-4
189,200000,-4,-4,-4,-4
190,-4,-4,-4,-4,-4
191,90000,-4,-4,-4,-4
192,130000,-4,-4,-4,-4
193,0,-4,-4,-4,-4
194,-5,-5,-5,-5,-5
195,10000,-4,-4,-4,-4
196,15000,-4,-4,-4,-4
197,-4,-4,-4,-4,-4
198,20000,-4,-4,-4,-4
199,-5,-5,-5,-5,-5
200,65000,-4,-4,-4,-4
201,407895,-4,-4,-4,-4
202,-4,-4,-4,-4,-4
203,-5,-5,-5,-5,-5
204,-4,-4,-4,-4,-4
205,-4,-4,-4,-4,-4
206,-5,-5,-5,-5,-5
207,-5,-5,-5,-5,-5
208,-4,-4,-4,-4,-4
209,-5,-5,-5,-5,-5
210,140000,-4,-4,-4,-4
211,89000,-4,-4,-4,-4
212,25000,-4,-4,-4,-4
213,-5,-5,-5,-5,-5
214,0,-4,-4,-4,-4
215,-5,-5,-5,-5,-5
216,-5,-5,-5,-5,-5
217,-5,-5,-5,-5,-5
218,20000,-4,-4,-4,-4
219,60000,-4,-4,-4,-4
220,100000,-4,-4,-4,-4
221,-4,-4,-4,-4,-4
