R0000100,R0011500,R0225400,R0413000,R0658800,R0902700,R1202500,R1601800,R1901800,R2301800,R2502900,R2902900,R3103300,R3503300,R3703300,R7101001,T0011801,spouse_birth_year
136,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
137,-4,-4,-4,-4,-4,-4,58,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,58
138,-4,-4,-4,-4,-4,-4,-4,-4,62,-4,-4,-4,-4,-4,-1904,-1904,62
139,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,69,-4,-1904,-1904,69
140,-4,-4,52,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,52
141,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
142,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-1905,-1905,-4
143,-4,58,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-4,-4,-1905,-1904,58
144,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,46,-4,-4,55,-1904,-1904,55
145,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
146,-4,-4,-4,-4,-4,-4,57,-4,-5,-4,-4,-4,-4,-4,-1904,-1904,57
147,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,63
148,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
149,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,-4,-4,-1904,-1904,60
150,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
151,-4,-4,-4,-4,-4,-4,-4,40,40,-4,-4,-4,-4,-4,-1905,-1905,40
152,-4,-4,-4,-4,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-3
153,-4,-5,-5,-5,-5,-5,-3,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-3
154,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
155,-4,-4,-4,-4,62,-4,-4,-4,-4,-3,-4,-4,-4,65,-1904,-1905,65
156,-4,-5,61,-4,-4,-4,-4,-4,-5,-5,-5,-4,-4,-4,-1904,-1904,61
157,-4,-4,-4,-4,61,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1905,61
158,-4,-4,-4,-4,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,58
159,-4,-4,-4,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,-3
160,-4,-4,-4,-4,-4,59,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,59
161,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,63,-1904,-1904,63
162,-4,-4,-4,-4,-4,-4,-4,-4,-4,63,-4,-4,-4,-4,-1904,-1904,63
163,-4,-4,-4,-4,-4,-4,-4,-4,-4,62,-4,-4,-4,-4,-1905,-1905,62
164,-4,-4,54,-4,-5,-5,-4,-4,-4,-4,-4,51,-4,-4,-1905,-1905,54
165,-4,-4,-4,-4,-4,-4,49,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,49
166,-4,-4,-4,-4,-4,-4,-4,61,-4,-4,-4,-4,-4,-4,-1904,-1904,61
167,-4,-4,-4,-4,-4,-4,-4,-4,61,-4,-4,-4,-4,-4,-1904,-1905,61
168,-4,-4,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
169,-4,-4,-5,-5,-4,-4,-4,-5,-4,-5,-5,-5,-5,-5,-1905,-1905,-4
170,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,-4
171,-4,-4,-4,-4,-4,-4,-4,-4,-4,64,-4,-4,-4,-4,-1904,-1904,64
172,-4,-4,-4,-4,-4,-4,-4,-4,-4,43,-4,-4,-4,-4,-1904,-1904,43
173,-4,-4,-5,-5,-4,-4,-4,64,-5,-4,-4,-4,-5,-5,-1905,-1905,64
174,-4,-4,-4,-4,-4,-4,60,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,60
175,-4,-5,-4,39,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-1905,-1905,39
176,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1905,-1905,-4
177,-4,-4,-4,-4,-4,-4,-4,-4,62,-4,-4,-3,-4,-4,-1905,-1905,62
178,-4,-4,-4,-4,-4,-4,-4,64,-4,-4,-4,-4,-4,-4,-1904,-1904,64
179,-4,-4,52,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,52
180,52,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1905,52
181,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1904,-1904,-4
182,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
183,-4,-4,-4,-4,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,58
184,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
185,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
186,-4,-4,-4,-4,-4,-4,-4,-4,-4,56,-4,-4,-4,-4,-1904,-1904,56
