,,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income
age,,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0
code,spouse_birthyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52836.06314923038,62160.969236881625,60378.794348421434,,58669.64125754549,,69281.46921243968,,58907.38405757002,,61574.407002445696,,65194.39637492358,,,,,,,,,,,,22999.98522480949,,,,,,,,,,,,,,
62,1958.0,,,,,,,,,,,,,,,35046.869060006815,35224.04209948692,37296.58154212897,36227.27660905286,,35058.68806853328,,35319.96469653787,,,,29555.715361173934,,61638.338390836834,,6699.379560644297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1961.0,,,,,,,,,,,,,206556.9850570367,229196.81772176808,204613.16775778928,,275868.94609355874,,288645.6191815526,,317263.38905726065,,328421.8776052247,,366758.7815994314,,334388.365136959,,304700.98248784256,,306364.4353477942,,263962.1335595447,,93603.2924299145,,,,88958.8245211509,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1969.0,,,,,,41958.6542348951,45284.09576131607,,38636.10521838362,,40753.805419082164,,,,12314.881400489141,,53340.86976130111,,27914.08150268457,,18930.034013554527,,20328.008688697486,,58163.85909977298,,42121.48159346152,,34959.977541710425,,48927.353486633,,34116.827557574055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1962.0,,,,,,,,,,,,72049.1770216778,69931.09039149183,75473.4929355268,,57238.674397605355,,61130.70812862324,,65452.64895285559,,,,88901.44960216852,,89325.06080859063,,84133.48450468678,,111804.04778783617,,67857.8356164018,,70202.46932243588,,64399.95862946657,,66719.11839086318,,63969.05167045134,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1957.0,,,,,,,,,,,,,71005.97139819636,60848.40955138857,70359.39768549138,71483.93059272724,82616.38965152386,80869.86695295207,92077.66138134268,,87288.97845634817,,,,104724.23832456893,,,,79687.70336539976,,111274.46137578155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1961.0,,,,,,,,,,,,43391.36169334177,44830.59903571063,51282.79962042734,49812.50533744768,,52945.77381778496,,52979.94704480682,,62834.542994741365,,66500.35956264136,,59267.63306811234,,69226.92212665774,,63100.11337851508,,,,,,,,68999.95567442848,,72946.23610734375,,79321.62407135968,,,,,,,,,,,,,,,,,,,,,,,,,
90,1957.0,,,,,,,,,,,,,56612.869087751154,59004.51835286165,56287.5181483931,60080.34696001168,65644.80573086199,65269.0176987257,25660.98759807911,,,,13584.60180636072,,,,,,37931.2851635919,,41312.84062397316,,39963.40513972622,,48787.220852873965,,50408.67788646991,,51481.81083645297,,73599.95271939038,,71167.05961692071,,63969.05167045134,,,,,,,,,,,,,,,,,,,,,
91,1962.0,,,,,,40543.32197405336,41777.53060546096,42219.766777305944,44253.388764646224,52769.54826411853,48398.05727334275,46431.691858414575,23310.36346383061,15094.698587105358,,28619.337198802677,,38036.88505781002,,,,36944.64420146742,,50970.16443857661,,39079.7141037584,,47325.08503388631,,35574.015205220596,,43622.89432482974,,46801.64621495725,,50599.96749458088,,47148.17699620998,,347902.0844149167,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1962.0,,,,,,34461.82367794536,37798.718166845625,44138.8470853653,38721.71516906545,35179.69884274569,45060.260220008764,32021.856454079018,4662.072692766122,6037.879434842143,,30050.30405874281,,27169.20361272144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1966.0,,,19894.062193076647,17271.72277253425,18438.911985269264,26384.774132059265,25033.47790000487,24016.392340559265,26418.41192567469,25660.98759807911,,28619.337198802677,,20376.902709541082,,13090.529790571116,,,,5926.7633068112345,,,,,,,,,,,,50599.96749458088,,57823.23593874808,,55439.844781057844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
