"R0000100","R0006500","R0007900","T9900000"
1104,12,18,15
1105,12,19,18
1106,12,18,16
1107,12,16,12
1108,12,16,12
1109,12,16,14
1110,10,12,12
1111,9,9,12
1112,9,-3,12
1113,6,6,12
1114,9,12,12
1115,8,8,12
1116,10,10,14
1117,8,6,13
1118,6,6,12
1119,12,4,14
1120,12,4,17
1121,4,4,8
1122,12,17,16
1123,12,6,15
1124,10,8,10
1125,12,12,13
1126,12,12,13
1127,17,17,13
1128,12,12,12
1129,12,16,12
1130,8,9,12
1131,11,11,12
1132,11,-2,12
1133,13,12,12
1134,13,12,11
1135,15,13,18
1136,8,12,19
1137,14,14,13
1138,14,14,16
1139,13,20,16
1140,12,12,16
1141,12,15,12
1142,18,20,16
1143,16,20,16
1144,16,20,16
1145,12,16,14
1146,12,18,16
1147,14,16,12
1148,6,9,11
1149,6,9,12
1150,6,9,12
1151,12,10,11
1152,12,10,12
1153,12,10,10
1154,12,12,18
1155,12,12,16
1156,12,14,12
1157,11,16,16
1158,11,4,14
1159,11,4,15
1160,11,4,14
1161,12,11,12
1162,11,12,13
1163,12,10,14
1164,6,5,5
1165,0,0,14
1166,12,14,13
1167,14,20,19
1168,11,10,12
1169,12,14,12
1170,12,13,12
1171,12,14,12
1172,12,8,12
1173,11,8,12
1174,14,11,16
1175,12,16,19
1176,12,18,16
1177,12,12,16
1178,12,12,17
1179,12,12,12
1180,14,9,13
1181,13,14,13
1182,17,18,18
1183,16,17,18
1184,16,16,16
1185,16,16,20
1186,16,16,16
1187,12,12,19
1188,12,12,15
1189,11,12,18
1190,11,12,12
1191,9,-2,16
1192,-2,-2,15
1193,11,-2,12
1194,12,12,12
1195,3,12,16
1196,-3,12,8
1197,-3,12,16
1198,-3,-2,14
1199,10,12,13
1200,12,6,16
1201,6,3,15
1202,6,3,16
1203,6,3,12
1204,-3,-2,9
1205,10,12,8
1206,8,6,10
1207,10,7,13
1208,9,9,20
1209,12,10,16
1210,-2,12,8
1211,-2,12,12
1212,12,-2,12
1213,8,-4,12
1214,8,-3,12
1215,8,-3,12
1216,11,-3,12
1217,11,-2,12
1218,11,-2,13
1219,9,-2,11
1220,10,-2,12
1221,11,9,12
1222,11,9,12
1223,11,9,13
1224,11,9,13
1225,11,-2,12
1226,11,7,13
1227,-2,-2,11
1228,-3,6,12
1229,-3,9,14
1230,-3,10,12
1231,16,19,19
1232,-3,10,12
1233,12,12,14
1234,12,13,16
1235,12,13,12
1236,12,13,12
1237,12,17,12
1238,12,12,13
1239,12,12,13
1240,12,12,18
1241,12,12,12
1242,12,12,12
1243,11,6,12
1244,9,6,12
1245,9,12,12
1246,9,-2,12
1247,9,9,12
1248,12,12,12
1249,11,11,12
1250,12,12,12
1251,12,12,12
1252,12,12,19
1253,12,14,12
1254,12,14,12
1255,12,14,18
1256,13,12,13
1257,12,12,12
1258,12,9,14
1259,12,11,12
1260,12,12,9
1261,14,12,14
1262,18,15,18
1263,12,12,12
1264,12,12,12
1265,12,12,12
1266,-2,11,14
1267,-2,-2,12
1268,12,12,16
1269,11,-2,15
1270,11,11,18
1271,11,14,12
1272,12,9,12
1273,12,9,13
1274,12,12,16
1275,-2,-2,12
1276,12,16,16
1277,12,14,17
1278,12,12,12
1279,17,16,15
1280,12,12,12
1281,12,12,18
1282,12,-2,12
1283,17,-3,18
1284,10,14,9
1285,10,14,8
1286,12,12,16
1287,12,12,14
1288,10,9,14
1289,12,12,12
1290,12,9,14
1291,12,9,13
1292,10,12,12
1293,12,13,16
1294,12,12,15
1295,12,5,9
1296,7,7,12
1297,0,0,11
1298,12,6,15
1299,12,8,18
